client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
c19985abcc904de18d98b8a51cb7b2ed54bcbacad26fabcccddb591c0e05746ccdbb33d8fcf169aded264abfdbc3e5fc69c9f78590ab808a80f3eb98fdf58736	common_voice_en_37285775.mp3	Shotaro, Otsuka, Shikishima and Murasame functioned as a team in this version.	0	2	thirties		Canadian English		en	
c19985abcc904de18d98b8a51cb7b2ed54bcbacad26fabcccddb591c0e05746ccdbb33d8fcf169aded264abfdbc3e5fc69c9f78590ab808a80f3eb98fdf58736	common_voice_en_37285778.mp3	Municipalities and communal councils have elected representatives who manage the administration of the regions.	2	2	thirties		Canadian English		en	
7b432cafbf9aeaaa0538c43261ac170eefc33496c530847c700375e1c460abf9522acb1301b6154d4ac83c4e0577dd61096ac092a44502babbfb94d57fb1e8ef	common_voice_en_37285794.mp3	The supreme authority of the bank is the General Body.	0	2					en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_37288197.mp3	Mike Golic, his colleague on Mike and Mike, frequently refers to Greenberg as Greeny.	0	2	fifties	male	German English,Non native speaker		en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_37288206.mp3	This report tests the mobile-readiness of the site using dotMobi's recommended best practices.	2	2	fifties	male	German English,Non native speaker		en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_37288261.mp3	Part of its present theater complex occupies the landmark Harris and Selwyn Theaters property.	2	2	fifties	male	German English,Non native speaker		en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_37289160.mp3	You must declare your innings closed.	0	2	fifties	male	German English,Non native speaker		en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_37289214.mp3	The same year saw Steve Bloomer marry Sarah Walker.	0	2	fifties	male	German English,Non native speaker		en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_37289261.mp3	It is recommended to avoid concentration of catholes around campsites.	0	2	fifties	male	German English,Non native speaker		en	
7275df3ab29386b68c10c396e31ed2476d1e25de0ac97913a17ab5a0e58d8bbf43cb7235ce9814a20321bef87f140c01900a4ceef94af8cef0a350ed14b3fa6e	common_voice_en_37289435.mp3	The river Segura flows through Orihuela.	0	3	thirties	male	United States English,Scandinavian		en	
7275df3ab29386b68c10c396e31ed2476d1e25de0ac97913a17ab5a0e58d8bbf43cb7235ce9814a20321bef87f140c01900a4ceef94af8cef0a350ed14b3fa6e	common_voice_en_37289457.mp3	It is mentioned in the Charaka Samhita, an ancient Ayurvedic text.	0	3	thirties	male	United States English,Scandinavian		en	
7275df3ab29386b68c10c396e31ed2476d1e25de0ac97913a17ab5a0e58d8bbf43cb7235ce9814a20321bef87f140c01900a4ceef94af8cef0a350ed14b3fa6e	common_voice_en_37289465.mp3	Prominent legislators John Chiang and Lee Ching-hua also supported Wang's candidacy.	0	3	thirties	male	United States English,Scandinavian		en	
7275df3ab29386b68c10c396e31ed2476d1e25de0ac97913a17ab5a0e58d8bbf43cb7235ce9814a20321bef87f140c01900a4ceef94af8cef0a350ed14b3fa6e	common_voice_en_37289476.mp3	I regret not taking that four years of getting drunk and falling in love.	0	3	thirties	male	United States English,Scandinavian		en	
7275df3ab29386b68c10c396e31ed2476d1e25de0ac97913a17ab5a0e58d8bbf43cb7235ce9814a20321bef87f140c01900a4ceef94af8cef0a350ed14b3fa6e	common_voice_en_37289481.mp3	One of her liaisons did have a tragic ending.	0	3	thirties	male	United States English,Scandinavian		en	
7275df3ab29386b68c10c396e31ed2476d1e25de0ac97913a17ab5a0e58d8bbf43cb7235ce9814a20321bef87f140c01900a4ceef94af8cef0a350ed14b3fa6e	common_voice_en_37289486.mp3	A sorceress runs about beating the air with a stick.	0	3	thirties	male	United States English,Scandinavian		en	
