anchor_client_id,anchor_path,pos_client_id,pos_path,neg_client_id,neg_path,anchor_source,pos_source,neg_source
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465627.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465611.mp3,3a814a2a7ce52032bd6cd7673f86c3d970322dcf59d3f0c7ef43f2fd33cc822dabd3693de9d4a688aa259594db9b58f0df1a4ad5370d0e4dc64b27a4245d2805,common_voice_en_37643176.mp3,original,original,original
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465619.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465617.mp3,3a814a2a7ce52032bd6cd7673f86c3d970322dcf59d3f0c7ef43f2fd33cc822dabd3693de9d4a688aa259594db9b58f0df1a4ad5370d0e4dc64b27a4245d2805,common_voice_en_37643154.mp3,original,original,original
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465617.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465627.mp3,31bee08bea18ab5748d1ceef15c1690991f28ddffa87c9bc0e40c63461f955d81a81bc170aa631a7434f53b0ce1a81e541b31f207e78ab15a43c1ebf8be95825,common_voice_en_37569948.mp3,original,original,original
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465618.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465619.mp3,720026f35b1a2c2b19308e915e0609b403a6e73e87f8c85e0d8f8a4b85a14fe61334ef9c9236b4d645579260d02c2283d43cac6933c6d5b9097f8e67aa98aed4,common_voice_en_37388949.mp3,original,original,original
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465611.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465618.mp3,c6387c24e088b029ec8883b434561af32c9a66d213da68c4b104345a0d3f9eb5f8e9e9a48f38dc58a04f244c36b6dac606c5102dcb80951f94b2269c1af30e77,common_voice_en_37531634.mp3,original,original,original
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465617.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465617.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,generated_voice_en_37465619.mp3,original,original,generated
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465627.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465619.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,generated_voice_en_37465618.mp3,original,original,generated
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465618.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465618.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,generated_voice_en_37465627.mp3,original,original,generated
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465611.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465627.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,generated_voice_en_37465617.mp3,original,original,generated
0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465619.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,common_voice_en_37465611.mp3,0c1c18b52ffa4d8c9abdfd39ae75fbd1669e10e5203eddb9e1d645718a78bd529a820e35baf297358a8b285188db70561cf6b326017cb70f87e03dd44bdc7971,generated_voice_en_37465611.mp3,original,original,generated
